;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Projet : SYSTÈME DE SURVEILLANCE DE LA QUALITE DE L'AIR EN TEMPS REEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;UQTR, GEGI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Armel Mounga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Date de début du projet :;09/09/2024;;;;;;;;;;;;Incrément de défilement :;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Marqueur de jalon :;1;1;;;;octobre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;novembre;;;;;;;;;;;;;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
;Description de l'étape;Attribué à;Progression;Début;Jours;;m;m;j;v;s;d;l;m;m;j;v;s;d;l;m;m;j;v;s;d;l;m;m;j;v;s;d;l;m;m;j;v;s;d;l;m;m;j;v;s;d;l;m;m;j;v;s;d;l;m;m;j;v;s;d;l
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acquisition des donnees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Identification des polluants a mesurer et choix des capteurs;Adama, Axel, Romaric ET Lamine;100%;23/09/2024;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choix du microcontroleur et integration des capteurs;Adama, Romaric;0%;18/10/2024;4 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codage pour la lecture des capteurs;Adama, Romaric;0%;22/10/2024;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Verification et Calibrage des capteurs;Adama, Romaric;0%;23/11/2024;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Envoi des donnees de modules de communication;Adama, Romaric;0%;30/11/2024;21 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Passerelle de communication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choix de la technologies de communication;Armel, Oumar;100%;30/09/2024;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Documentation sur le module de communication;Lamine, Adama, Axel;0%;18/10/2024;14 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Integration du module de communication;Lamine, Adama, Axel;0%;02/11/2024;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codage pour la transmission des données;Lamine, Adama, Axel;0%;17/12/2024;45 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sécurisation de  la transmission des données;Lamine, Adama, Axel;0%;02/01/2025;14 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tests de couverture et validation de la passerelle;Lamine, Adama, Axel;0%;16/01/2025;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Analyse de données et Stockage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Choix des technologies de stockage et de traitement des données ;Armel;75%;18/10/2024;7 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;développment de l'architecture de la base de données.;Armel;0%;26/10/2024;21 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;développment des algorithmes d'analyse de données;Armel;0%;17/11/2024;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Implementation des fonctionnalités de prédiction;Armel;0%;18/12/2024;30 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Validation et tests;Armel;0%;17/01/2025;14 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Interface graphique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
